LOCATION,TIME,Value
CHE,2020-Q1,-1.731200029
CHE,2020-Q2,-7.028700796
CHE,2020-Q3,7.166023226
NZL,2019-Q1,0.413103594
NZL,2019-Q2,0.393214203
NZL,2019-Q3,0.710558219
NZL,2019-Q4,0.14616979
NZL,2020-Q1,-1.192991449
NZL,2020-Q2,-11.037063284
NZL,2020-Q3,13.99877363
CHN,2019-Q1,2.0
CHN,2019-Q2,1.2
CHN,2019-Q3,1.2
CHN,2019-Q4,1.2
CHN,2020-Q1,-9.7
CHN,2020-Q2,11.6
CHN,2020-Q3,3.0
CHN,2020-Q4,2.6
CHL,2019-Q1,0.071490463
CHL,2019-Q2,1.072555088
CHL,2019-Q3,0.808769274
CHL,2019-Q4,-4.275588305
CHL,2020-Q1,2.968463318
CHL,2020-Q2,-13.468095999
CHL,2020-Q3,5.222944289
SWE,2019-Q1,0.405899694
SWE,2019-Q2,0.073877939
SWE,2019-Q3,-0.145021614
SWE,2019-Q4,0.445973689
SWE,2020-Q1,0.332241724
SWE,2020-Q2,-7.950005454
SWE,2020-Q3,4.930314681
SWE,2020-Q4,0.5
FRA,2019-Q1,0.507596607
FRA,2019-Q2,0.285040875
FRA,2019-Q3,0.147104873
FRA,2019-Q4,-0.186918136
FRA,2020-Q1,-5.905832336
FRA,2020-Q2,-13.651488184
FRA,2020-Q3,18.509715196
FRA,2020-Q4,-1.348365623
GRC,2019-Q1,0.918650638
GRC,2019-Q2,0.512949379
GRC,2019-Q3,-0.682023896
GRC,2019-Q4,0.473879523
GRC,2020-Q1,0.129790373
GRC,2020-Q2,-14.14776204
GRC,2020-Q3,2.290037872
COL,2019-Q1,0.897739933
COL,2019-Q2,0.930258372
COL,2019-Q3,0.839128248
COL,2019-Q4,0.658645277
COL,2020-Q1,-1.380323028
COL,2020-Q2,-16.104953772
COL,2020-Q3,8.707209073
LTU,2019-Q1,1.611793989
LTU,2019-Q2,0.750013608
LTU,2019-Q3,0.658747853
LTU,2019-Q4,0.780901519
LTU,2020-Q1,-0.026924279
LTU,2020-Q2,-5.91185151
LTU,2020-Q3,3.784547318
LTU,2020-Q4,1.199344537
SAU,2019-Q1,-0.863727249
SAU,2019-Q2,0.084336393
SAU,2019-Q3,-0.201725358
SAU,2019-Q4,0.304377329
SAU,2020-Q1,-1.318603323
SAU,2020-Q2,-5.215277505
SAU,2020-Q3,1.792105118
SAU,2020-Q4,2.800007332
BGR,2019-Q1,1.253743415
