location,year,month,gdp_percentage_change,monthly_new_cases,percentage_growth_rate_cases
Switzerland,2020,5,-7.028700796000003,1276.0,-90.17024882520607
Switzerland,2020,6,-7.028700796000003,852.0,-33.22884012539185
Switzerland,2020,7,7.166023225999995,3518.0,312.9107981220657
Switzerland,2020,8,7.166023225999995,6945.0,97.4133030130756
Switzerland,2020,9,7.166023225999995,11105.0,59.89920806335493
Switzerland,2020,10,,100969.0,809.2210715893741
Switzerland,2020,11,,172821.0,71.16243599520645
Switzerland,2020,12,,125224.0,-27.54121316275221
Turkey,2020,3,0.17856591000000005,13531.0,-68.06542210474144
Turkey,2020,4,-10.783870904000004,106673.0,688.3600620796689
Turkey,2020,5,-10.783870904000006,43738.0,-58.99805949021777
Turkey,2020,6,-10.783870904000004,35964.0,-17.774018016370203
Turkey,2020,7,15.564347436999993,30967.0,-13.894450005561117
Turkey,2020,8,15.564347436999993,39260.0,26.78012077372687
Turkey,2020,9,15.564347436999993,48530.0,23.611818644931226
Turkey,2020,10,,56704.0,16.843189779517825
Turkey,2020,11,,263480.0,364.6585778781038
Turkey,2020,12,,746580.0,183.3535752239259
United Kingdom,2020,1,-2.882513084,2.0,-99.99486679328577
United Kingdom,2020,2,-2.882513084,59.0,2850.0
United Kingdom,2020,3,-2.8825130839999997,38754.0,65584.74576271187
United Kingdom,2020,4,-19.03933795900001,139956.0,261.1394952779068
United Kingdom,2020,5,-19.03933795900001,78768.0,-43.71945468575838
United Kingdom,2020,6,-19.03933795900001,27677.0,-64.86263457241519
United Kingdom,2020,7,16.131886706999992,19577.0,-29.266177692669004
United Kingdom,2020,8,16.131886706999992,33290.0,70.04648311794453
United Kingdom,2020,9,16.131886706999992,117765.0,253.75488134574948
United Kingdom,2020,10,,558947.0,374.6291342928714
United Kingdom,2020,11,,618941.0,10.733396905252198
United Kingdom,2020,12,,862499.0,39.35076202739841
United States,2020,1,-1.262654605,7.0,-99.99918840485613
United States,2020,2,-1.262654605000001,17.0,142.85714285714286
United States,2020,3,-1.262654605000001,192276.0,1130935.294117647
United States,2020,4,-8.986116769000002,888718.0,362.2095321308952
United States,2020,5,-8.986116769,717694.0,-19.243899639705734
United States,2020,6,-8.986116769000002,843368.0,17.510805440758876
United States,2020,7,7.478741090999996,1924850.0,128.23370106525266
United States,2020,8,7.478741090999996,1458662.0,-24.219445671091254
United States,2020,9,7.478741090999997,1206239.0,-17.30510563790652
United States,2020,10,,1926939.0,59.74769510851498
United States,2020,11,,4496449.0,133.34672244424965
United States,2020,12,,6406683.0,42.483168384651975
